Ensembl Gene ID	Multiple?	% Identity with respect to Human gene	Hs Gene	HS Description	First	Ensembl Gene ID
C34F11.9	1	29	DVL1	"dishevelled, dsh homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:3084]"	1	C34F11.9
C34F11.9	1	28	DVL2	"dishevelled, dsh homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:3086]"	1	C34F11.9
C34F11.9	1	29	DVL3	"dishevelled, dsh homolog 3 (Drosophila) [Source:HGNC Symbol;Acc:3087]"	1	C34F11.9
C34F6.1	1	12	AMBP	alpha-1-microglobulin/bikunin precursor [Source:HGNC Symbol;Acc:453]	1	C34F6.1
C34F6.1	1	16	SPINT2	"serine peptidase inhibitor, Kunitz type, 2 [Source:HGNC Symbol;Acc:11247]"	1	C34F6.1
C34F6.1	1	18	TFPI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor) [Source:HGNC Symbol;Acc:11760]	1	C34F6.1
C34F6.1	1	25	TFPI2	tissue factor pathway inhibitor 2 [Source:HGNC Symbol;Acc:11761]	1	C34F6.1
C34F6.10	1	18	FNDC3A	fibronectin type III domain containing 3A [Source:HGNC Symbol;Acc:20296]	1	C34F6.10
C34F6.10	1	18	FNDC3B	fibronectin type III domain containing 3B [Source:HGNC Symbol;Acc:24670]	1	C34F6.10
C34F6.4	1	40	HS2ST1	heparan sulfate 2-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:5193]	1	C34F6.4
C34F6.4	1	23	UST	uronyl-2-sulfotransferase [Source:HGNC Symbol;Acc:17223]	1	C34F6.4
C34F6.7	0	26	TMEM129	transmembrane protein 129 [Source:HGNC Symbol;Acc:25137]	1	C34F6.7
C34F6.8	0	63	IDH2	"isocitrate dehydrogenase 2 (NADP+), mitochondrial [Source:HGNC Symbol;Acc:5383]"	1	C34F6.8
C34G6.1	1	12	C20orf132	chromosome 20 open reading frame 132 [Source:HGNC Symbol;Acc:16125]	1	C34G6.1
C34G6.1	1	14	C8orf73	chromosome 8 open reading frame 73 [Source:HGNC Symbol;Acc:27814]	1	C34G6.1
C34G6.1	1	30	HEATR7A	HEAT repeat containing 7A [Source:HGNC Symbol;Acc:26958]	1	C34G6.1
C34G6.1	1	15	HEATR7B1	HEAT repeat containing 7B1 [Source:HGNC Symbol;Acc:27936]	1	C34G6.1
C34G6.1	1	17	HEATR7B2	HEAT repeat family member 7B2 [Source:HGNC Symbol;Acc:26857]	1	C34G6.1
C34G6.1	1	11	HEATR8	HEAT repeat containing 8 [Source:HGNC Symbol;Acc:24802]	1	C34G6.1
C34G6.4	1	44	ABCB1	"ATP-binding cassette, sub-family B (MDR/TAP), member 1 [Source:HGNC Symbol;Acc:40]"	1	C34G6.4
C34G6.4	1	37	ABCB11	"ATP-binding cassette, sub-family B (MDR/TAP), member 11 [Source:HGNC Symbol;Acc:42]"	1	C34G6.4
C34G6.4	1	44	ABCB4	"ATP-binding cassette, sub-family B (MDR/TAP), member 4 [Source:HGNC Symbol;Acc:45]"	1	C34G6.4
C34G6.4	1	41	ABCB5	"ATP-binding cassette, sub-family B (MDR/TAP), member 5 [Source:HGNC Symbol;Acc:46]"	1	C34G6.4
C34G6.5	0	18	CDC7	cell division cycle 7 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:1745]	1	C34G6.5
C34G6.7	1	28	STAM	signal transducing adaptor molecule (SH3 domain and ITAM motif) 1 [Source:HGNC Symbol;Acc:11357]	1	C34G6.7
C34G6.7	1	26	STAM2	signal transducing adaptor molecule (SH3 domain and ITAM motif) 2 [Source:HGNC Symbol;Acc:11358]	1	C34G6.7
C34H3.2	1	33	OSR1	odd-skipped related 1 (Drosophila) [Source:HGNC Symbol;Acc:8111]	1	C34H3.2
C34H3.2	1	29	OSR2	odd-skipped related 2 (Drosophila) [Source:HGNC Symbol;Acc:15830]	1	C34H3.2
C34H3.2	1	10	ZNF554	zinc finger protein 554 [Source:HGNC Symbol;Acc:26629]	1	C34H3.2
C35A5.1	0	28	AQP8	aquaporin 8 [Source:HGNC Symbol;Acc:642]	1	C35A5.1
C35A5.8	1	40	RANBP17	RAN binding protein 17 [Source:HGNC Symbol;Acc:14428]	1	C35A5.8
C35A5.8	1	42	XPO7	exportin 7 [Source:HGNC Symbol;Acc:14108]	1	C35A5.8
C35A5.9	0	43	HDAC11	histone deacetylase 11 [Source:HGNC Symbol;Acc:19086]	1	C35A5.9
C35B1.1	1	84	UBE2A	ubiquitin-conjugating enzyme E2A [Source:HGNC Symbol;Acc:12472]	1	C35B1.1
C35B1.1	1	83	UBE2B	ubiquitin-conjugating enzyme E2B [Source:HGNC Symbol;Acc:12473]	1	C35B1.1
C35B1.5	1	10	NXN	nucleoredoxin [Source:HGNC Symbol;Acc:18008]	1	C35B1.5
C35B1.5	1	19	NXNL1	nucleoredoxin-like 1 [Source:HGNC Symbol;Acc:25179]	1	C35B1.5
C35B1.5	1	32	NXNL2	nucleoredoxin-like 2 [Source:HGNC Symbol;Acc:30482]	1	C35B1.5
C35B8.2	1	31	VAV1	vav 1 guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:12657]	1	C35B8.2
C35B8.2	1	29	VAV2	vav 2 guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:12658]	1	C35B8.2
C35B8.2	1	30	VAV3	vav 3 guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:12659]	1	C35B8.2
C35B8.3	0	22	C3orf23	chromosome 3 open reading frame 23 [Source:HGNC Symbol;Acc:25241]	1	C35B8.3
C35C5.10	0	34	TMEM164	transmembrane protein 164 [Source:HGNC Symbol;Acc:26217]	1	C35C5.10
C35C5.11	1	26	FOLH1	folate hydrolase (prostate-specific membrane antigen) 1 [Source:HGNC Symbol;Acc:3788]	1	C35C5.11
C35C5.11	1	26	NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2 [Source:HGNC Symbol;Acc:14526]	1	C35C5.11
C35C5.11	1	23	NAALADL1	N-acetylated alpha-linked acidic dipeptidase-like 1 [Source:HGNC Symbol;Acc:23536]	1	C35C5.11
C35C5.2	1	30	FOLH1	folate hydrolase (prostate-specific membrane antigen) 1 [Source:HGNC Symbol;Acc:3788]	1	C35C5.2
C35C5.2	1	31	NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2 [Source:HGNC Symbol;Acc:14526]	1	C35C5.2
C35C5.2	1	28	NAALADL1	N-acetylated alpha-linked acidic dipeptidase-like 1 [Source:HGNC Symbol;Acc:23536]	1	C35C5.2
C35C5.3	0	31	RP11-392O18.1.1	Selenoprotein T [Source:UniProtKB/Swiss-Prot;Acc:P62341]	1	C35C5.3
C35C5.6	0	22	TRAPPC9	trafficking protein particle complex 9 [Source:HGNC Symbol;Acc:30832]	1	C35C5.6
C35D10.1	0	34	C15orf24	chromosome 15 open reading frame 24 [Source:HGNC Symbol;Acc:24301]	1	C35D10.1
C35D10.10	1	33	TMX2	thioredoxin-related transmembrane protein 2 [Source:HGNC Symbol;Acc:30739]	1	C35D10.10
C35D10.10	1	31	TMX2-CTNND1	TMX2-CTNND1 readthrough (non-protein coding) [Source:HGNC Symbol;Acc:41992]	1	C35D10.10
C35D10.12	0	22	KIAA1456.1	Putative methyltransferase KIAA1456 [Source:UniProtKB/Swiss-Prot;Acc:Q9P272]	1	C35D10.12
C35D10.16	0	77	ARPC4	"actin related protein 2/3 complex, subunit 4, 20kDa [Source:HGNC Symbol;Acc:707]"	1	C35D10.16
C35D10.17	0	37	C16orf61	chromosome 16 open reading frame 61 [Source:HGNC Symbol;Acc:24447]	1	C35D10.17
C35D10.2	1	33	GIPC1	"GIPC PDZ domain containing family, member 1 [Source:HGNC Symbol;Acc:1226]"	1	C35D10.2
C35D10.2	1	35	GIPC2	"GIPC PDZ domain containing family, member 2 [Source:HGNC Symbol;Acc:18177]"	1	C35D10.2
C35D10.2	1	32	GIPC3	"GIPC PDZ domain containing family, member 3 [Source:HGNC Symbol;Acc:18183]"	1	C35D10.2
C35D10.4	1	39	ADCK3	aarF domain containing kinase 3 [Source:HGNC Symbol;Acc:16812]	1	C35D10.4
C35D10.4	1	43	ADCK4	aarF domain containing kinase 4 [Source:HGNC Symbol;Acc:19041]	1	C35D10.4
C35D10.5	0	17	UQCC	ubiquinol-cytochrome c reductase complex chaperone [Source:HGNC Symbol;Acc:15891]	1	C35D10.5
C36A4.1	1	30	CYP3A4	"cytochrome P450, family 3, subfamily A, polypeptide 4 [Source:HGNC Symbol;Acc:2637]"	1	C36A4.1
C36A4.1	1	30	CYP3A43	"cytochrome P450, family 3, subfamily A, polypeptide 43 [Source:HGNC Symbol;Acc:17450]"	1	C36A4.1
C36A4.1	1	29	CYP3A5	"cytochrome P450, family 3, subfamily A, polypeptide 5 [Source:HGNC Symbol;Acc:2638]"	1	C36A4.1
C36A4.1	1	28	CYP3A7	"cytochrome P450, family 3, subfamily A, polypeptide 7 [Source:HGNC Symbol;Acc:2640]"	1	C36A4.1
C36A4.1	1	20	CYP46A1	"cytochrome P450, family 46, subfamily A, polypeptide 1 [Source:HGNC Symbol;Acc:2641]"	1	C36A4.1
C36A4.1	1	27	TBXAS1	thromboxane A synthase 1 (platelet) [Source:HGNC Symbol;Acc:11609]	1	C36A4.1
C36A4.2	1	30	CYP3A4	"cytochrome P450, family 3, subfamily A, polypeptide 4 [Source:HGNC Symbol;Acc:2637]"	1	C36A4.2
C36A4.2	1	29	CYP3A43	"cytochrome P450, family 3, subfamily A, polypeptide 43 [Source:HGNC Symbol;Acc:17450]"	1	C36A4.2
C36A4.2	1	29	CYP3A5	"cytochrome P450, family 3, subfamily A, polypeptide 5 [Source:HGNC Symbol;Acc:2638]"	1	C36A4.2
C36A4.2	1	29	CYP3A7	"cytochrome P450, family 3, subfamily A, polypeptide 7 [Source:HGNC Symbol;Acc:2640]"	1	C36A4.2
C36A4.2	1	19	CYP46A1	"cytochrome P450, family 46, subfamily A, polypeptide 1 [Source:HGNC Symbol;Acc:2641]"	1	C36A4.2
C36A4.2	1	27	TBXAS1	thromboxane A synthase 1 (platelet) [Source:HGNC Symbol;Acc:11609]	1	C36A4.2
C36A4.3	1	30	CYP3A4	"cytochrome P450, family 3, subfamily A, polypeptide 4 [Source:HGNC Symbol;Acc:2637]"	1	C36A4.3
C36A4.3	1	28	CYP3A43	"cytochrome P450, family 3, subfamily A, polypeptide 43 [Source:HGNC Symbol;Acc:17450]"	1	C36A4.3
C36A4.3	1	29	CYP3A5	"cytochrome P450, family 3, subfamily A, polypeptide 5 [Source:HGNC Symbol;Acc:2638]"	1	C36A4.3
C36A4.3	1	28	CYP3A7	"cytochrome P450, family 3, subfamily A, polypeptide 7 [Source:HGNC Symbol;Acc:2640]"	1	C36A4.3
C36A4.3	1	20	CYP46A1	"cytochrome P450, family 46, subfamily A, polypeptide 1 [Source:HGNC Symbol;Acc:2641]"	1	C36A4.3
C36A4.3	1	27	TBXAS1	thromboxane A synthase 1 (platelet) [Source:HGNC Symbol;Acc:11609]	1	C36A4.3
C36A4.4	1	34	UAP1	UDP-N-acteylglucosamine pyrophosphorylase 1 [Source:HGNC Symbol;Acc:12457]	1	C36A4.4
C36A4.4	1	33	UAP1L1	UDP-N-acteylglucosamine pyrophosphorylase 1-like 1 [Source:HGNC Symbol;Acc:28082]	1	C36A4.4
C36A4.5	0	11	KIAA0754	KIAA0754 [Source:HGNC Symbol;Acc:29111]	1	C36A4.5
C36A4.6	1	27	CYP3A4	"cytochrome P450, family 3, subfamily A, polypeptide 4 [Source:HGNC Symbol;Acc:2637]"	1	C36A4.6
C36A4.6	1	25	CYP3A43	"cytochrome P450, family 3, subfamily A, polypeptide 43 [Source:HGNC Symbol;Acc:17450]"	1	C36A4.6
C36A4.6	1	26	CYP3A5	"cytochrome P450, family 3, subfamily A, polypeptide 5 [Source:HGNC Symbol;Acc:2638]"	1	C36A4.6
C36A4.6	1	25	CYP3A7	"cytochrome P450, family 3, subfamily A, polypeptide 7 [Source:HGNC Symbol;Acc:2640]"	1	C36A4.6
C36A4.6	1	20	CYP46A1	"cytochrome P450, family 46, subfamily A, polypeptide 1 [Source:HGNC Symbol;Acc:2641]"	1	C36A4.6
C36A4.6	1	25	TBXAS1	thromboxane A synthase 1 (platelet) [Source:HGNC Symbol;Acc:11609]	1	C36A4.6
C36A4.9	0	49	ACSS2	acyl-CoA synthetase short-chain family member 2 [Source:HGNC Symbol;Acc:15814]	1	C36A4.9
C36B1.1	1	16	COL15A1	"collagen, type XV, alpha 1 [Source:HGNC Symbol;Acc:2192]"	1	C36B1.1
C36B1.1	1	14	COL18A1	"collagen, type XVIII, alpha 1 [Source:HGNC Symbol;Acc:2195]"	1	C36B1.1
C36B1.12	1	27	AC004410.1	Signal peptide peptidase-like 2B [Source:UniProtKB/Swiss-Prot;Acc:Q8TCT7]	1	C36B1.12
C36B1.12	1	19	AC217771.1	Signal peptide peptidase-like 2C [Source:UniProtKB/Swiss-Prot;Acc:Q8IUH8]	1	C36B1.12
C36B1.12	1	26	SPPL2A.1	Signal peptide peptidase-like 2A [Source:UniProtKB/Swiss-Prot;Acc:Q8TCT8]	1	C36B1.12
C36B1.14	0	42	CRIPT	cysteine-rich PDZ-binding protein [Source:HGNC Symbol;Acc:14312]	1	C36B1.14
C36B1.3	0	56	POLR2C	"polymerase (RNA) II (DNA directed) polypeptide C, 33kDa [Source:HGNC Symbol;Acc:9189]"	1	C36B1.3
C36B1.4	1	62	PSMA7	"proteasome (prosome, macropain) subunit, alpha type, 7 [Source:HGNC Symbol;Acc:9536]"	1	C36B1.4
C36B1.4	1	57	PSMA8	"proteasome (prosome, macropain) subunit, alpha type, 8 [Source:HGNC Symbol;Acc:22985]"	1	C36B1.4
C36B1.5	1	19	POC1A	POC1 centriolar protein homolog A (Chlamydomonas) [Source:HGNC Symbol;Acc:24488]	1	C36B1.5
C36B1.5	1	15	POC1B	POC1 centriolar protein homolog B (Chlamydomonas) [Source:HGNC Symbol;Acc:30836]	1	C36B1.5
C36B1.5	1	41	PRPF4	PRP4 pre-mRNA processing factor 4 homolog (yeast) [Source:HGNC Symbol;Acc:17349]	1	C36B1.5
C36B1.5	1	20	WDR69	WD repeat domain 69 [Source:HGNC Symbol;Acc:26383]	1	C36B1.5
C36B1.7	1	34	DHFR	dihydrofolate reductase [Source:HGNC Symbol;Acc:2861]	1	C36B1.7
C36B1.7	1	33	DHFRL1	dihydrofolate reductase-like 1 [Source:HGNC Symbol;Acc:27309]	1	C36B1.7
C36B7.5	1	8	BAI1	brain-specific angiogenesis inhibitor 1 [Source:HGNC Symbol;Acc:943]	1	C36B7.5
C36B7.5	1	22	CFP	complement factor properdin [Source:HGNC Symbol;Acc:8864]	1	C36B7.5
C36B7.6	0	44	CLPTM1	cleft lip and palate associated transmembrane protein 1 [Source:HGNC Symbol;Acc:2087]	1	C36B7.6
C36E6.1	1	23	FUBP1	far upstream element (FUSE) binding protein 1 [Source:HGNC Symbol;Acc:4004]	1	C36E6.1
C36E6.1	1	27	FUBP3	far upstream element (FUSE) binding protein 3 [Source:HGNC Symbol;Acc:4005]	1	C36E6.1
C36E6.1	1	23	KHSRP	KH-type splicing regulatory protein [Source:HGNC Symbol;Acc:6316]	1	C36E6.1
C36E6.2	0	19	C6orf106	chromosome 6 open reading frame 106 [Source:HGNC Symbol;Acc:21215]	1	C36E6.2
C36E6.3	1	20	CALML6	calmodulin-like 6 [Source:HGNC Symbol;Acc:24193]	1	C36E6.3
C36E6.3	1	33	MYL10	"myosin, light chain 10, regulatory [Source:HGNC Symbol;Acc:29825]"	1	C36E6.3
C36E6.3	1	46	MYL2	"myosin, light chain 2, regulatory, cardiac, slow [Source:HGNC Symbol;Acc:7583]"	1	C36E6.3
C36E6.3	1	43	MYL5	"myosin, light chain 5, regulatory [Source:HGNC Symbol;Acc:7586]"	1	C36E6.3
C36E6.3	1	39	MYL7	"myosin, light chain 7, regulatory [Source:HGNC Symbol;Acc:21719]"	1	C36E6.3
C36E6.3	1	46	MYLPF	"myosin light chain, phosphorylatable, fast skeletal muscle [Source:HGNC Symbol;Acc:29824]"	1	C36E6.3
C36E6.5	1	20	CALML6	calmodulin-like 6 [Source:HGNC Symbol;Acc:24193]	1	C36E6.5
C36E6.5	1	33	MYL10	"myosin, light chain 10, regulatory [Source:HGNC Symbol;Acc:29825]"	1	C36E6.5
C36E6.5	1	46	MYL2	"myosin, light chain 2, regulatory, cardiac, slow [Source:HGNC Symbol;Acc:7583]"	1	C36E6.5
C36E6.5	1	43	MYL5	"myosin, light chain 5, regulatory [Source:HGNC Symbol;Acc:7586]"	1	C36E6.5
C36E6.5	1	39	MYL7	"myosin, light chain 7, regulatory [Source:HGNC Symbol;Acc:21719]"	1	C36E6.5
C36E6.5	1	46	MYLPF	"myosin light chain, phosphorylatable, fast skeletal muscle [Source:HGNC Symbol;Acc:29824]"	1	C36E6.5
C36E8.1	0	22	RRN3	RRN3 RNA polymerase I transcription factor homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:30346]	1	C36E8.1
C36E8.3	1	27	PLXDC1	plexin domain containing 1 [Source:HGNC Symbol;Acc:20945]	1	C36E8.3
C36E8.3	1	27	PLXDC2	plexin domain containing 2 [Source:HGNC Symbol;Acc:21013]	1	C36E8.3
C36E8.4	0	16	NOSTRIN	nitric oxide synthase trafficker [Source:HGNC Symbol;Acc:20203]	1	C36E8.4
C36F7.1	1	16	IRX1	iroquois homeobox 1 [Source:HGNC Symbol;Acc:14358]	1	C36F7.1
C36F7.1	1	18	IRX2	iroquois homeobox 2 [Source:HGNC Symbol;Acc:14359]	1	C36F7.1
C36F7.1	1	16	IRX3	iroquois homeobox 3 [Source:HGNC Symbol;Acc:14360]	1	C36F7.1
C36F7.1	1	16	IRX4	iroquois homeobox 4 [Source:HGNC Symbol;Acc:6129]	1	C36F7.1
C36F7.1	1	16	IRX5	iroquois homeobox 5 [Source:HGNC Symbol;Acc:14361]	1	C36F7.1
C36F7.1	1	17	IRX6	iroquois homeobox 6 [Source:HGNC Symbol;Acc:14675]	1	C36F7.1
C36F7.1	1	12	MKX	mohawk homeobox [Source:HGNC Symbol;Acc:23729]	1	C36F7.1
C37A2.4	1	23	CCNE1	cyclin E1 [Source:HGNC Symbol;Acc:1589]	1	C37A2.4
C37A2.4	1	25	CCNE2	cyclin E2 [Source:HGNC Symbol;Acc:1590]	1	C37A2.4
C37A2.6	0	33	METTL20	methyltransferase like 20 [Source:HGNC Symbol;Acc:28739]	1	C37A2.6
C37A2.7	1	51	RPLP2	"ribosomal protein, large, P2 [Source:HGNC Symbol;Acc:10377]"	1	C37A2.7
C37A5.1	1	18	BEST1	bestrophin 1 [Source:HGNC Symbol;Acc:12703]	1	C37A5.1
C37A5.1	1	26	BEST2	bestrophin 2 [Source:HGNC Symbol;Acc:17107]	1	C37A5.1
C37A5.1	1	21	BEST3	bestrophin 3 [Source:HGNC Symbol;Acc:17105]	1	C37A5.1
C37A5.1	1	27	BEST4	bestrophin 4 [Source:HGNC Symbol;Acc:17106]	1	C37A5.1
C37C3.12	0	24	PTTG1IP	pituitary tumor-transforming 1 interacting protein [Source:HGNC Symbol;Acc:13524]	1	C37C3.12
C37C3.2	0	49	EIF5	eukaryotic translation initiation factor 5 [Source:HGNC Symbol;Acc:3299]	1	C37C3.2
C37C3.3	1	42	CHMP4A	charged multivesicular body protein 4A [Source:HGNC Symbol;Acc:20274]	1	C37C3.3
C37C3.3	1	53	CHMP4B	charged multivesicular body protein 4B [Source:HGNC Symbol;Acc:16171]	1	C37C3.3
C37C3.3	1	44	CHMP4C	charged multivesicular body protein 4C [Source:HGNC Symbol;Acc:30599]	1	C37C3.3
C37C3.6	1	17	ADAMTSL4	ADAMTS-like 4 [Source:HGNC Symbol;Acc:19706]	1	C37C3.6
C37C3.6	1	28	ADAMTSL5	ADAMTS-like 5 [Source:HGNC Symbol;Acc:27912]	1	C37C3.6
C37C3.6	1	15	PAPLN	"papilin, proteoglycan-like sulfated glycoprotein [Source:HGNC Symbol;Acc:19262]"	1	C37C3.6
C37C3.6	1	22	THSD4	"thrombospondin, type I, domain containing 4 [Source:HGNC Symbol;Acc:25835]"	1	C37C3.6
C37C3.8	0	48	MEMO1	mediator of cell motility 1 [Source:HGNC Symbol;Acc:14014]	1	C37C3.8
C37E2.1	0	55	IDH3B	isocitrate dehydrogenase 3 (NAD+) beta [Source:HGNC Symbol;Acc:5385]	1	C37E2.1
C37E2.2	1	20	AIG1	androgen-induced 1 [Source:HGNC Symbol;Acc:21607]	1	C37E2.2
C37E2.2	1	19	C6orf105	chromosome 6 open reading frame 105 [Source:HGNC Symbol;Acc:21214]	1	C37E2.2
C37E2.3	1	19	AIG1	androgen-induced 1 [Source:HGNC Symbol;Acc:21607]	1	C37E2.3
C37E2.3	1	19	C6orf105	chromosome 6 open reading frame 105 [Source:HGNC Symbol;Acc:21214]	1	C37E2.3
C37E2.4	0	16	HESX1	HESX homeobox 1 [Source:HGNC Symbol;Acc:4877]	1	C37E2.4
C37E2.5	1	14	ARGFX	arginine-fifty homeobox [Source:HGNC Symbol;Acc:30146]	1	C37E2.5
C37E2.5	1	17	CRX	cone-rod homeobox [Source:HGNC Symbol;Acc:2383]	1	C37E2.5
C37E2.5	1	14	OTX1	orthodenticle homeobox 1 [Source:HGNC Symbol;Acc:8521]	1	C37E2.5
C37E2.5	1	16	OTX2	orthodenticle homeobox 2 [Source:HGNC Symbol;Acc:8522]	1	C37E2.5
C37F5.1	1	8	ETV6	ets variant 6 [Source:HGNC Symbol;Acc:3495]	1	C37F5.1
C37F5.1	1	12	ETV7	ets variant 7 [Source:HGNC Symbol;Acc:18160]	1	C37F5.1
C37F5.1	1	14	SPDEF	SAM pointed domain containing ets transcription factor [Source:HGNC Symbol;Acc:17257]	1	C37F5.1
C37H5.13	0	36	ACOT8	acyl-CoA thioesterase 8 [Source:HGNC Symbol;Acc:15919]	1	C37H5.13
C37H5.2	1	39	ABHD4	abhydrolase domain containing 4 [Source:HGNC Symbol;Acc:20154]	1	C37H5.2
C37H5.2	1	36	ABHD5	abhydrolase domain containing 5 [Source:HGNC Symbol;Acc:21396]	1	C37H5.2
C37H5.3	1	42	ABHD4	abhydrolase domain containing 4 [Source:HGNC Symbol;Acc:20154]	1	C37H5.3
C37H5.3	1	39	ABHD5	abhydrolase domain containing 5 [Source:HGNC Symbol;Acc:21396]	1	C37H5.3
C37H5.5	0	29	NOC3L	nucleolar complex associated 3 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:24034]	1	C37H5.5
C37H5.6	1	50	ADSS	adenylosuccinate synthase [Source:HGNC Symbol;Acc:292]	1	C37H5.6
C37H5.6	1	42	ADSSL1	adenylosuccinate synthase like 1 [Source:HGNC Symbol;Acc:20093]	1	C37H5.6
C37H5.8	0	72	HSPA9	heat shock 70kDa protein 9 (mortalin) [Source:HGNC Symbol;Acc:5244]	1	C37H5.8
C37H5.9	1	16	ASTL	astacin-like metallo-endopeptidase (M12 family) [Source:HGNC Symbol;Acc:31704]	1	C37H5.9
C37H5.9	1	8	MEP1A	"meprin A, alpha (PABA peptide hydrolase) [Source:HGNC Symbol;Acc:7015]"	1	C37H5.9
C37H5.9	1	9	MEP1B	"meprin A, beta [Source:HGNC Symbol;Acc:7020]"	1	C37H5.9
C38C10.1	1	27	TACR1	tachykinin receptor 1 [Source:HGNC Symbol;Acc:11526]	1	C38C10.1
C38C10.1	1	27	TACR2	tachykinin receptor 2 [Source:HGNC Symbol;Acc:11527]	1	C38C10.1
C38C10.1	1	24	TACR3	tachykinin receptor 3 [Source:HGNC Symbol;Acc:11528]	1	C38C10.1
C38C10.5	0	24	MED14	mediator complex subunit 14 [Source:HGNC Symbol;Acc:2370]	1	C38C10.5
C38C3.5	1	24	CFL1	cofilin 1 (non-muscle) [Source:HGNC Symbol;Acc:1874]	1	C38C3.5
C38C3.5	1	30	CFL2	cofilin 2 (muscle) [Source:HGNC Symbol;Acc:1875]	1	C38C3.5
C38C3.5	1	27	DSTN	destrin (actin depolymerizing factor) [Source:HGNC Symbol;Acc:15750]	1	C38C3.5
C38C6.2	0	17	SLC3A2	"solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2 [Source:HGNC Symbol;Acc:11026]"	1	C38C6.2
C38D4.5	1	17	ARHGAP12	Rho GTPase activating protein 12 [Source:HGNC Symbol;Acc:16348]	1	C38D4.5
C38D4.5	1	26	ARHGAP15	Rho GTPase activating protein 15 [Source:HGNC Symbol;Acc:21030]	1	C38D4.5
C38D4.5	1	24	ARHGAP27	Rho GTPase activating protein 27 [Source:HGNC Symbol;Acc:31813]	1	C38D4.5
C38D4.5	1	22	ARHGAP9	Rho GTPase activating protein 9 [Source:HGNC Symbol;Acc:14130]	1	C38D4.5
C38D4.6	1	24	CDX1	caudal type homeobox 1 [Source:HGNC Symbol;Acc:1805]	1	C38D4.6
C38D4.6	1	22	CDX2	caudal type homeobox 2 [Source:HGNC Symbol;Acc:1806]	1	C38D4.6
C38D4.6	1	20	CDX4	caudal type homeobox 4 [Source:HGNC Symbol;Acc:1808]	1	C38D4.6
C38D4.8	0	44	ARL6	ADP-ribosylation factor-like 6 [Source:HGNC Symbol;Acc:13210]	1	C38D4.8
C38D4.9	0	43	METTL5	methyltransferase like 5 [Source:HGNC Symbol;Acc:25006]	1	C38D4.9
C38H2.1	1	28	SGSM1	small G protein signaling modulator 1 [Source:HGNC Symbol;Acc:29410]	1	C38H2.1
C38H2.1	1	29	SGSM2	small G protein signaling modulator 2 [Source:HGNC Symbol;Acc:29026]	1	C38H2.1
C38H2.2	0	44	C1GALT1	"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1 [Source:HGNC Symbol;Acc:24337]"	1	C38H2.2
C39B10.2	1	28	GLRA1	"glycine receptor, alpha 1 [Source:HGNC Symbol;Acc:4326]"	1	C39B10.2
C39B10.2	1	28	GLRA2	"glycine receptor, alpha 2 [Source:HGNC Symbol;Acc:4327]"	1	C39B10.2
C39B10.2	1	29	GLRA3	"glycine receptor, alpha 3 [Source:HGNC Symbol;Acc:4328]"	1	C39B10.2
C39B10.2	1	28	GLRA4	"glycine receptor, alpha 4 [Source:HGNC Symbol;Acc:31715]"	1	C39B10.2
C39B10.2	1	23	GLRB	"glycine receptor, beta [Source:HGNC Symbol;Acc:4329]"	1	C39B10.2
C39B5.6	0	30	PET112	PET112 homolog (yeast) [Source:HGNC Symbol;Acc:8849]	1	C39B5.6
C39E6.4	1	18	HMX1	H6 family homeobox 1 [Source:HGNC Symbol;Acc:5017]	1	C39E6.4
C39E6.4	1	22	HMX2	H6 family homeobox 2 [Source:HGNC Symbol;Acc:5018]	1	C39E6.4
C39E6.4	1	21	HMX3	H6 family homeobox 3 [Source:HGNC Symbol;Acc:5019]	1	C39E6.4
C39E6.6	1	22	NPY1R	neuropeptide Y receptor Y1 [Source:HGNC Symbol;Acc:7956]	1	C39E6.6
C39E6.6	1	24	NPY2R	neuropeptide Y receptor Y2 [Source:HGNC Symbol;Acc:7957]	1	C39E6.6
C39E6.6	1	16	NPY5R	neuropeptide Y receptor Y5 [Source:HGNC Symbol;Acc:7958]	1	C39E6.6
C39E6.6	1	25	PPYR1	pancreatic polypeptide receptor 1 [Source:HGNC Symbol;Acc:9329]	1	C39E6.6
C39E9.10	1	33	SPNS1	spinster homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:30621]	1	C39E9.10
C39E9.10	1	30	SPNS2	spinster homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:26992]	1	C39E9.10
C39E9.10	1	30	SPNS3	spinster homolog 3 (Drosophila) [Source:HGNC Symbol;Acc:28433]	1	C39E9.10
